Date,Open,High,Low,Close,Adj Close,Volume
1/3/2017," 15,366.80 "," 15,450.30 "," 15,340.00 "," 15,403.00 "," 15,403.00 "," 201,117,500.00 "
1/4/2017," 15,433.90 "," 15,520.60 "," 15,412.50 "," 15,516.80 "," 15,516.80 "," 215,081,200.00 "
1/5/2017," 15,542.10 "," 15,621.40 "," 15,537.40 "," 15,586.60 "," 15,586.60 "," 247,712,500.00 "
1/6/2017," 15,562.50 "," 15,562.90 "," 15,477.30 "," 15,496.10 "," 15,496.10 "," 198,912,100.00 "
1/9/2017," 15,475.50 "," 15,475.50 "," 15,382.00 "," 15,389.00 "," 15,389.00 "," 186,465,200.00 "
1/10/2017," 15,422.70 "," 15,459.10 "," 15,422.70 "," 15,426.30 "," 15,426.30 "," 218,071,500.00 "
1/11/2017," 15,457.60 "," 15,494.10 "," 15,404.30 "," 15,491.50 "," 15,491.50 "," 247,770,500.00 "
1/12/2017," 15,499.30 "," 15,499.30 "," 15,380.10 "," 15,418.20 "," 15,418.20 "," 240,679,500.00 "
1/13/2017," 15,419.60 "," 15,513.90 "," 15,403.40 "," 15,497.30 "," 15,497.30 "," 188,584,200.00 "
1/16/2017," 15,494.90 "," 15,505.10 "," 15,442.70 "," 15,479.30 "," 15,479.30 "," 73,294,800.00 "
1/17/2017," 15,497.90 "," 15,500.40 "," 15,430.90 "," 15,441.40 "," 15,441.40 "," 207,465,500.00 "
1/18/2017," 15,430.90 "," 15,450.10 "," 15,366.20 "," 15,397.90 "," 15,397.90 "," 232,023,600.00 "
1/19/2017," 15,411.60 "," 15,452.20 "," 15,397.30 "," 15,409.80 "," 15,409.80 "," 183,536,700.00 "
1/20/2017," 15,467.70 "," 15,573.20 "," 15,467.70 "," 15,547.90 "," 15,547.90 "," 209,609,500.00 "
1/23/2017," 15,531.00 "," 15,531.00 "," 15,421.20 "," 15,480.10 "," 15,480.10 "," 189,354,900.00 "
1/24/2017," 15,489.20 "," 15,622.10 "," 15,467.30 "," 15,610.70 "," 15,610.70 "," 257,478,800.00 "
1/25/2017," 15,631.30 "," 15,674.30 "," 15,625.30 "," 15,643.80 "," 15,643.80 "," 225,249,100.00 "
1/26/2017," 15,634.50 "," 15,652.20 "," 15,590.20 "," 15,615.50 "," 15,615.50 "," 196,639,700.00 "
1/27/2017," 15,614.70 "," 15,648.20 "," 15,543.50 "," 15,575.80 "," 15,575.80 "," 162,511,800.00 "
1/30/2017," 15,544.10 "," 15,544.10 "," 15,366.70 "," 15,405.10 "," 15,405.10 "," 201,825,700.00 "
1/31/2017," 15,393.00 "," 15,421.80 "," 15,313.00 "," 15,386.00 "," 15,386.00 "," 250,645,400.00 "
2/1/2017," 15,423.80 "," 15,442.90 "," 15,327.20 "," 15,402.40 "," 15,402.40 "," 219,188,600.00 "
2/2/2017," 15,409.40 "," 15,435.50 "," 15,375.00 "," 15,399.10 "," 15,399.10 "," 209,702,900.00 "
2/3/2017," 15,437.80 "," 15,502.50 "," 15,396.00 "," 15,476.40 "," 15,476.40 "," 189,442,200.00 "
2/6/2017," 15,488.90 "," 15,492.70 "," 15,425.50 "," 15,456.90 "," 15,456.90 "," 189,735,800.00 "
2/7/2017," 15,470.40 "," 15,516.30 "," 15,459.60 "," 15,498.80 "," 15,498.80 "," 217,956,900.00 "
2/8/2017," 15,482.10 "," 15,554.00 "," 15,414.10 "," 15,554.00 "," 15,554.00 "," 236,404,100.00 "
2/9/2017," 15,583.60 "," 15,635.80 "," 15,583.60 "," 15,617.30 "," 15,617.30 "," 204,203,000.00 "
2/10/2017," 15,651.80 "," 15,736.60 "," 15,645.60 "," 15,729.10 "," 15,729.10 "," 220,292,600.00 "
2/13/2017," 15,750.70 "," 15,769.70 "," 15,732.80 "," 15,756.60 "," 15,756.60 "," 177,735,900.00 "
2/14/2017," 15,756.00 "," 15,800.30 "," 15,713.50 "," 15,786.00 "," 15,786.00 "," 203,943,600.00 "
2/15/2017," 15,790.10 "," 15,850.00 "," 15,784.40 "," 15,845.00 "," 15,845.00 "," 218,503,900.00 "
2/16/2017," 15,842.30 "," 15,865.50 "," 15,820.70 "," 15,864.20 "," 15,864.20 "," 227,255,900.00 "
2/17/2017," 15,809.80 "," 15,848.40 "," 15,789.10 "," 15,838.60 "," 15,838.60 "," 201,416,400.00 "
2/21/2017," 15,873.80 "," 15,943.10 "," 15,861.60 "," 15,922.40 "," 15,922.40 "," 225,803,600.00 "
2/22/2017," 15,890.80 "," 15,901.40 "," 15,830.20 "," 15,830.20 "," 15,830.20 "," 219,354,600.00 "
2/23/2017," 15,900.90 "," 15,913.40 "," 15,774.90 "," 15,781.20 "," 15,781.20 "," 246,185,700.00 "
2/24/2017," 15,718.00 "," 15,719.70 "," 15,513.80 "," 15,533.50 "," 15,533.50 "," 253,962,800.00 "
2/27/2017," 15,544.30 "," 15,547.20 "," 15,463.50 "," 15,463.50 "," 15,463.50 "," 431,018,400.00 "
2/28/2017," 15,465.50 "," 15,525.10 "," 15,396.30 "," 15,399.20 "," 15,399.20 "," 310,033,800.00 "
3/1/2017," 15,534.70 "," 15,631.40 "," 15,481.00 "," 15,599.70 "," 15,599.70 "," 267,459,400.00 "
3/2/2017," 15,586.80 "," 15,620.60 "," 15,532.10 "," 15,536.70 "," 15,536.70 "," 232,759,400.00 "
3/3/2017," 15,522.60 "," 15,622.20 "," 15,521.30 "," 15,608.50 "," 15,608.50 "," 216,741,700.00 "
3/6/2017," 15,570.70 "," 15,631.20 "," 15,499.60 "," 15,629.80 "," 15,629.80 "," 203,871,700.00 "
3/7/2017," 15,617.40 "," 15,637.60 "," 15,577.30 "," 15,608.80 "," 15,608.80 "," 209,343,000.00 "
3/8/2017," 15,602.30 "," 15,645.60 "," 15,488.90 "," 15,497.00 "," 15,497.00 "," 219,321,900.00 "
